Country,type,1970,1980,1990,2000,2010,2020
Malawi,Sheep [02122],81136,88929,85167,111539,214230,366184
Malaysia,Sheep [02122],39213,61283,205409,145257,123475,121173
Mali,Sheep [02122],5750000,6250000,6086000,6800000,11300247,20142677
Malta,Sheep [02122],8401,4947,16000,12000,12379,13150
Mauritania,Sheep [02122],4500000,5197200,5100000,8034880,8701555,11102216
Mauritius,Sheep [02122],4200,12000,7000,9800,2022,3787
Mexico,Sheep [02122],6113150,6482000,5846000,6045999,8105562,8725882
"Micronesia, Federated States of",Sheep [02122],,,,,,
Mongolia,Sheep [02122],12631000,14400000,14265200,15191300,14480396,30049428
Montenegro,Sheep [02122],,,,,198165,186043
Morocco,Sheep [02122],17000000,16509808,13514426,17299700,18023200,22088800
Mozambique,Sheep [02122],118435,106000,156000,174096,220391,225673
Myanmar,Sheep [02122],182970,236000,276000,389781,663780,1593783
Namibia,Sheep [02122],3660000,4474027,3328316,2446146,2800000,1348598
Nepal,Sheep [02122],630000,730000,892296,851913,801371,806079
Netherlands,Sheep [02122],610272,858084,1725000,1308000,1129500,710000
New Zealand,Sheep [02122],60276112,68771776,57852192,42260000,32562612,26028935
Nicaragua,Sheep [02122],1450,2750,3700,5100,6300,6690
Niger,Sheep [02122],4873970,5414862,5486628,7739431,9680058,13654677
Nigeria,Sheep [02122],3219000,8050000,12460000,26000000,35519760,47743807
Macedonia,Sheep [02122],,,,1289000,778404,630634
Norway,Sheep [02122],1752910,1992200,2211000,2352705,2308291,2224658
Oman,Sheep [02122],38000,113889,250000,344000,388590,629742
Pakistan,Sheep [02122],13095000,21439008,25698000,24084000,27757000,31225000
Panama,Sheep [02122],,,,,,
Papua New Guinea,Sheep [02122],272,1961,3600,6300,7000,7626
Paraguay,Sheep [02122],324647,380000,457200,402092,392649,307004
Peru,Sheep [02122],16811008,13572100,12256900,14686310,14159720,11097551
Philippines,Sheep [02122],27881,30000,30000,30000,30000,30000
Poland,Sheep [02122],3199200,4206529,4158465,361582,261129,277850
Portugal,Sheep [02122],4421800,4560000,3347000,3584000,2226000,2181020
Qatar,Sheep [02122],34000,45915,129991,214531,213804,1021718
"Korea, Republic of",Sheep [02122],2200,6233,3225,829,3918,911
"Moldova, Republic of",Sheep [02122],,,,930229,803747,676865
Romania,Sheep [02122],13835900,15819700,15434800,8121000,9141500,10464400
Russian Federation,Sheep [02122],,,,12622156,19849656,20654963
Rwanda,Sheep [02122],186657,295520,388616,254441,743201,633692
Saint Kitts and Nevis,Sheep [02122],13650,13900,14000,14084,7000,8351
Saint Lucia,Sheep [02122],8400,12702,15700,12500,10000,9341
Saint Vincent and the Grenadines,Sheep [02122],5000,12500,13200,13000,12000,7552
Samoa,Sheep [02122],,,,,,
Sao Tome and Principe,Sheep [02122],2159,1800,1800,2600,3200,3348
Saudi Arabia,Sheep [02122],2345000,4247000,6383357,7934490,8741000,9446699
Senegal,Sheep [02122],1500000,1947000,3347000,4542000,5571335,7426338
Serbia,Sheep [02122],,,,1917000,1475395,1684613
Seychelles,Sheep [02122],,,,,,
Sierra Leone,Sheep [02122],185000,267000,270910,200000,682000,974690
Singapore,Sheep [02122],,,,,,
Slovakia,Sheep [02122],,,,340346,376978,294252
Slovenia,Sheep [02122],,,,72533,138108,113734
Solomon Islands,Sheep [02122],,,,,,
Somalia,Sheep [02122],9200000,10300000,13000000,13808000,12000000,12063556
South Africa,Sheep [02122],34286000,31641008,32665008,28550716,24501044,21604708
South Sudan,Sheep [02122],,,,,,14959238
Spain,Sheep [02122],18729280,14547000,22739000,23965000,18551600,15439220
Sri Lanka,Sheep [02122],26297,28000,26000,11200,7910,11290
Sudan,Sheep [02122],11358000,17623008,20700000,46095000,52079000,40946061
Suriname,Sheep [02122],2700,2918,9620,7360,6900,5672
Swaziland,Sheep [02122],39749,32274,24431,27000,34500,37483
Sweden,Sheep [02122],334616,391629,405595,431934,564922,501153
Switzerland,Sheep [02122],291100,353500,395200,420740,434083,343597
Syrian Arab Republic,Sheep [02122],6045758,9300720,14508608,13505200,15511000,16073088
Tajikistan,Sheep [02122],,,,1472200,2617373,3818750
Thailand,Sheep [02122],39000,21776,162496,37312,43139,39782
Taiwan,Sheep [02122],,202,373,90,200,213
The Bahamas,Sheep [02122],20000,10500,7200,6292,6500,6605
The Gambia,Sheep [02122],106800,136000,120841,105531,251000,65000
Togo,Sheep [02122],619000,539270,1252300,1570100,2108400,1785888
Tonga,Sheep [02122],,,,,,
Trinidad and Tobago,Sheep [02122],6000,10000,6000,2500,17333,13388
Tunisia,Sheep [02122],4750000,4967000,5966300,6926250,7234070,6333094
Türkiye,Sheep [02122],36351008,46026000,43647008,30256000,21794508,42126781
Turkmenistan,Sheep [02122],,,,7500000,13600000,13969559
Tuvalu,Sheep [02122],,,,,,
Uganda,Sheep [02122],827500,1318400,780000,1081000,1847000,2024160
