Country,type,1970,1980,1990,2000,2010,2020
Luxembourg,1000 Head of Chicken,,,,72,90,
Madagascar,1000 Head of Chicken,12353,11295,13388,21540,26500,41318
Malawi,1000 Head of Chicken,7300,8600,11500,14700,16000,18813
Malaysia,1000 Head of Chicken,37000,50800,57000,123597,217228,295587
Mali,1000 Head of Chicken,14000,12000,22000,25000,36750,52098
Malta,1000 Head of Chicken,989,1095,850,820,970,
Mauritania,1000 Head of Chicken,2500,3100,3800,4100,4300,4733
Mauritius,1000 Head of Chicken,490,2000,4400,7700,14200,16481
Mexico,1000 Head of Chicken,140300,178134,234055,366964,506256,591596
"Micronesia, Federated States of",1000 Head of Chicken,,,,185,185,191
Mongolia,1000 Head of Chicken,100,300,370,89,426,985
Montenegro,1000 Head of Chicken,,,,,506,767
Morocco,1000 Head of Chicken,16000,24000,73000,135000,170000,207696
Mozambique,1000 Head of Chicken,13924,17000,22000,23587,23922,27746
Myanmar,1000 Head of Chicken,14435,22407,23323,44755,156407,348658
Namibia,1000 Head of Chicken,700,1200,1700,3600,5100,4381
Nepal,1000 Head of Chicken,4800,5700,13113,18620,25760,82599
Netherlands,1000 Head of Chicken,56209,81155,92765,104015,101248,101863
New Zealand,1000 Head of Chicken,5000,6424,9000,13000,18525,24849
Nicaragua,1000 Head of Chicken,2998,4700,3880,13400,19000,25015
Niger,1000 Head of Chicken,7761,8831,10048,11434,17101,20696
Nigeria,1000 Head of Chicken,52440,79760,126090,113200,192313,166125
Macedonia,1000 Head of Chicken,,,,3350,1995,1643
Norway,1000 Head of Chicken,3710,3579,3763,8695,11854,16416
Oman,1000 Head of Chicken,470,462,2500,3400,4390,4829
Pakistan,1000 Head of Chicken,16800,45200,79000,150000,321000,1443000
Panama,1000 Head of Chicken,2929,4797,6917,14451,17263,25586
Papua New Guinea,1000 Head of Chicken,895,1600,2900,3700,4000,4585
Paraguay,1000 Head of Chicken,6210,12000,17047,15198,16376,23583
Peru,1000 Head of Chicken,22022,39950,62204,92610,130779,171059
Philippines,1000 Head of Chicken,56999,52761,82300,115187,158984,178265
Poland,1000 Head of Chicken,74971,79292,62755,48274,153278,182473
Portugal,1000 Head of Chicken,13600,19000,20000,11131,11605,
Qatar,1000 Head of Chicken,60,575,2632,4209,7300,1228
"Korea, Republic of",1000 Head of Chicken,25903,40130,74463,102547,149200,178528
"Moldova, Republic of",1000 Head of Chicken,,,,12535,22340,40910
Romania,1000 Head of Chicken,46172,87517,113968,69143,83843,
Russian Federation,1000 Head of Chicken,,,,340334,390534,496964
Rwanda,1000 Head of Chicken,511,1052,1226,1278,3538,5633
Saint Kitts and Nevis,1000 Head of Chicken,64,78,56,60,80,92
Saint Lucia,1000 Head of Chicken,75,189,220,220,450,458
Saint Vincent and the Grenadines,1000 Head of Chicken,100,150,200,200,260,253
Samoa,1000 Head of Chicken,480,450,350,440,460,421
Sao Tome and Principe,1000 Head of Chicken,53,90,103,350,230,299
Saudi Arabia,1000 Head of Chicken,3250,17000,76000,115000,148200,202356
Senegal,1000 Head of Chicken,4840,8423,13000,24495,40449,88495
Serbia,1000 Head of Chicken,,,,18948,32735,14927
Seychelles,1000 Head of Chicken,65,177,270,550,310,108
Sierra Leone,1000 Head of Chicken,2900,4050,6000,4000,9460,25032
Singapore,1000 Head of Chicken,3100,4800,2100,2000,3300,3912
Slovakia,1000 Head of Chicken,,,,11758,13249,10409
Slovenia,1000 Head of Chicken,,,,4256,2945,4162
Solomon Islands,1000 Head of Chicken,115,143,145,190,240,243
Somalia,1000 Head of Chicken,2000,2900,3100,3200,3400,3771
South Africa,1000 Head of Chicken,22500,30000,87000,126000,197000,179017
South Sudan,1000 Head of Chicken,,,,,,15000
Spain,1000 Head of Chicken,45197,107000,109000,128000,138000,
Sri Lanka,1000 Head of Chicken,6856,6341,8796,10622,14018,24278
Sudan,1000 Head of Chicken,18500,27000,32263,36465,43316,50747
Suriname,1000 Head of Chicken,3607,4500,8957,3395,6150,6071
Swaziland,1000 Head of Chicken,359,567,1113,3000,3500,3871
Sweden,1000 Head of Chicken,11772,13192,11300,7317,7708,10780
Switzerland,1000 Head of Chicken,5919,6146,5964,6790,8944,12298
Syrian Arab Republic,1000 Head of Chicken,3669,13849,14794,21629,25401,18741
Tajikistan,1000 Head of Chicken,,,,770,3938,10185
Thailand,1000 Head of Chicken,58791,56043,107559,224726,231918,285764
Taiwan,1000 Head of Chicken,14435,38941,76979,121512,100770,102328
The Gambia,1000 Head of Chicken,245,275,557,630,850,1485
Togo,1000 Head of Chicken,1991,1979,6381,9129,21650,30534
Tonga,1000 Head of Chicken,80,146,200,300,330,343
Trinidad and Tobago,1000 Head of Chicken,5130,7400,12500,19240,33000,37547
Tunisia,1000 Head of Chicken,8500,24200,41100,59399,80000,96052
Türkiye,1000 Head of Chicken,32313,53709,64078,258168,234918,379349
Turkmenistan,1000 Head of Chicken,,,,5500,15888,16492
Tuvalu,1000 Head of Chicken,10,13,27,40,49,56
Uganda,1000 Head of Chicken,8300,13200,18960,26974,34680,36263
Ukraine,1000 Head of Chicken,,,,105612,172600,202511
United Arab Emirates,1000 Head of Chicken,85,1949,6700,12200,20000,24631
United Kingdom of Great Britain and Northern Ireland,1000 Head of Chicken,137444,116000,124636,154504,152000,172000
"Tanzania, United Republic of",1000 Head of Chicken,10800,17000,20500,27798,33500,37995
United States of America,1000 Head of Chicken,920900,1053000,1332000,1860000,8623600,9222100
Uruguay,1000 Head of Chicken,5268,5876,8000,13000,16500,39779
Uzbekistan,1000 Head of Chicken,,,,14100,32600,61307
Vanuatu,1000 Head of Chicken,170,270,300,340,600,537
Venezuela (Bolivarian Republic of),1000 Head of Chicken,18724,43989,56610,120000,117000,129142
Viet nam,1000 Head of Chicken,44900,45200,75200,152310,218201,409500
Yemen,1000 Head of Chicken,2424,4240,17443,29600,60000,70137
Zambia,1000 Head of Chicken,8970,20638,15700,29000,35000,41085
Zimbabwe,1000 Head of Chicken,7500,8200,12000,17500,23519,7579
