Country,1970,1980,1990,2000,2010,2020
Afghanistan,60000,64000,66000,68560,128880,137240
Albania,21690,34920,52590,40870,52450,67740
Algeria,138000,250000,740000,1100000,1260000,1372800
Angola,43000,54000,61000,68000,171190,473060
Antigua and Barbuda,500,660,900,1100,1500,1610
Argentina,325000,620000,670000,1090000,980000,1184630
Armenia,,,,41000,39100,43960
Australia,270000,467490,599560,849280,830240,1008940
Austria,115430,144960,141450,137980,156500,
Azerbaijan,,,,142000,211500,301760
The Bahamas,6200,11500,19000,23500,30000,32050
Bahrain,1100,3500,5700,4900,5300,99070
Bangladesh,661860,520950,911030,1327000,2280350,2966020
Barbados,3400,17000,29000,34600,36000,42580
Belarus,,,,264000,320000,458750
Belgium,347090,283350,328000,390000,343750,
Belize,2500,3900,11000,9500,15300,16700
Benin,64000,110560,95790,117580,165500,226900
Bhutan,900,1480,2190,2310,3490,13840
Bolivia (Plurinational State of),102000,178580,238540,776590,1954080,2355660
Bosnia and Herzegovina,,,,94000,210300,166580
Botswana,4300,8330,21260,35000,17610,7800
Brazil,2000000,4413210,5462350,8427410,12389130,14793630
Brunei,4900,10000,25650,96180,149100,194370
Bulgaria,273290,391640,350330,133000,160020,
Burkina Faso,104200,110410,171580,224840,390000,398470
Burundi,21000,31000,44000,41000,17200,25690
Cabo Verde,530,2500,5040,4800,6180,10000
Cambodia,39000,24420,81630,152490,174480,124720
Cameroon,85000,80000,176000,220000,450000,554250
Canada,949950,935110,1110000,1580000,1650000,1717180
Central African Republic,10700,15490,27730,42110,63760,72870
Chad,29000,32000,40000,49000,55500,61710
Chile,145000,260000,193580,384080,474790,1145230
China,6200000,8750000,20000000,35000000,52000000,47480800
Colombia,167000,310000,530000,1050000,1580000,2016010
Comoros,2250,2800,3920,4900,5500,5450
"Congo, Democratic Republic of the",5750,11000,16000,19000,26000,29770
Costa Rica,39230,55000,95000,171350,239000,244920
Croatia,,,,70460,50410,125080
Cuba,135260,248860,279040,283460,309500,302450
Cyprus,34160,22000,24750,36000,29810,
Czechia,,,,295380,240420,
Côte d'Ivoire,56000,170000,241000,291750,450520,843750
Denmark,178470,151000,154980,209820,180840,
"Congo, Democratic Republic of the",90000,135000,274900,215590,200670,186680
Djibouti,,,,,,
Dominica,790,1080,1330,1900,1900,2000
Dominican Republic,88000,207000,328000,460000,1784330,1796940
Timor-Leste,6500,6800,7660,10000,7020,11850
Ecuador,61390,326340,512050,1300500,1829300,1595680
Egypt,245410,275970,372080,890000,1037890,1670390
El Salvador,21610,50640,49520,99000,150000,175220
Equatorial Guinea,900,1300,2330,3100,3400,3740
Eritrea,,,,12000,12500,11840
Estonia,,,,24140,17690,20550
Ethiopia,472000,514000,578000,285430,492870,569930
Fiji,4000,12000,26000,40000,47000,54790
Finland,85530,93760,58580,79180,46160,85070
France,1647560,1762900,1941660,2141870,2315270,2420150
Gabon,3320,16000,22000,32000,31000,32440
Georgia,,,,80000,61900,92980
Germany,1388790,1363770,1212700,1076590,1141130,
Ghana,108230,115000,96860,204720,477520,954550
Greece,224940,294400,275780,302890,278410,
Grenada,2200,2700,2600,1500,2700,2720
Guatemala,95600,140000,146000,309000,330000,359940
Guinea,38000,61000,76510,118550,212310,340740
Guinea-Bissau,2800,4200,8000,13000,15960,21800
Guyana,64500,94000,20500,105000,214000,302900
Haiti,36000,50000,50000,55000,56000,58630
Honduras,29000,48080,100000,173000,433180,476010
Hungary,581210,612690,528210,258900,321280,308740
Iceland,1360,3940,5060,2100,2180,2220
India,1270000,1868000,2680000,3740000,6633000,7910320
Indonesia,633580,1492500,5711630,8594970,13496260,35600790
Iran (Islamic Republic of),540000,900000,1600000,2500000,8800000,10092140
Iraq,118610,270000,800000,230000,340000,785340
Ireland,78870,85670,81870,127250,138000,
Israel,100000,266500,213500,275330,425990,511400
Italy,1120000,1397000,1490340,1000000,1300000,
Jamaica,31230,50000,78000,117000,135000,141870
Japan,2250450,2846600,3378570,2957920,2860000,3196510
Jordan,106390,140000,130000,235000,290000,289930
Kazakhstan,,,,178800,309600,416680
Kenya,118720,164000,252280,262910,303980,571620
Kuwait,45000,90000,224630,263150,305590,554560
Kyrgyzstan,,,,26600,44220,46740
Lao People's Democratic Republic,110000,46210,78840,130950,251050,466240
Latvia,,,,32370,48290,
Lebanon,59500,232430,230000,310000,490000,680470
Lesotho,8410,7300,10000,10000,5020,3800
Liberia,16500,24000,38000,40000,68000,87130
Libya,12550,55000,165000,248000,330000,365480
Lithuania,,,,62090,90250,
Luxembourg,,,,720,900,
Madagascar,123530,112950,133880,215400,265000,413180
Malawi,73000,86000,115000,147000,160000,188130
Malaysia,370000,508000,570000,1235970,2172280,2955870
Mali,140000,120000,220000,250000,367500,520980
Malta,9890,10950,8500,8200,9700,
Mauritania,25000,31000,38000,41000,43000,47330
Mauritius,4900,20000,44000,77000,142000,164810
Mexico,1403000,1781340,2340550,3669640,5062560,5915960
"Micronesia, Federated States of",,,,1850,1850,1910
Mongolia,1000,3000,3700,890,4260,9850
Montenegro,,,,,5060,7670
Morocco,160000,240000,730000,1350000,1700000,2076960
Mozambique,139240,170000,220000,235870,239220,277460
Myanmar,144350,224070,233230,447550,1564070,3486580
Namibia,7000,12000,17000,36000,51000,43810
Nepal,48000,57000,131130,186200,257600,825990
Netherlands,562090,811550,927650,1040150,1012480,1018630
New Zealand,50000,64240,90000,130000,185250,248490
Nicaragua,29980,47000,38800,134000,190000,250150
Niger,77610,88310,100480,114340,171010,206960
Nigeria,524400,797600,1260900,1132000,1923130,1661250
Macedonia,,,,33500,19950,16430
Norway,37100,35790,37630,86950,118540,164160
Oman,4700,4620,25000,34000,43900,48290
Pakistan,168000,452000,790000,1500000,3210000,14430000
Panama,29290,47970,69170,144510,172630,255860
Papua New Guinea,8950,16000,29000,37000,40000,45850
Paraguay,62100,120000,170470,151980,163760,235830
Peru,220220,399500,622040,926100,1307790,1710590
Philippines,569990,527610,823000,1151870,1589840,1782650
Poland,749710,792920,627550,482740,1532780,1824730
Portugal,136000,190000,200000,111310,116050,0
Qatar,600,5750,26320,42090,73000,12280
"Korea, Republic of",259030,401300,744630,1025470,1492000,1785280
"Moldova, Republic of",,,,125350,223400,409100
Romania,461720,875170,1139680,691430,838430,0
Russian Federation,,,,3403340,3905340,4969640
Rwanda,5110,10520,12260,12780,35380,56330
Saint Kitts and Nevis,640,780,560,600,800,920
Saint Lucia,750,1890,2200,2200,4500,4580
Saint Vincent and the Grenadines,1000,1500,2000,2000,2600,2530
Samoa,4800,4500,3500,4400,4600,4210
Sao Tome and Principe,530,900,1030,3500,2300,2990
Saudi Arabia,32500,170000,760000,1150000,1482000,2023560
Senegal,48400,84230,130000,244950,404490,884950
Serbia,0,0,0,189480,327350,149270
Seychelles,650,1770,2700,5500,3100,1080
Sierra Leone,29000,40500,60000,40000,94600,250320
Singapore,31000,48000,21000,20000,33000,39120
Slovakia,,,,117580,132490,104090
Slovenia,,,,42560,29450,41620
Solomon Islands,1150,1430,1450,1900,2400,2430
Somalia,20000,29000,31000,32000,34000,37710
South Africa,225000,300000,870000,1260000,1970000,1790170
South Sudan,,,,,,150000
Spain,451970,1070000,1090000,1280000,1380000,
Sri Lanka,68560,63410,87960,106220,140180,242780
Sudan,185000,270000,322630,364650,433160,507470
Suriname,36070,45000,89570,33950,61500,60710
Swaziland,3590,5670,11130,30000,35000,38710
Sweden,117720,131920,113000,73170,77080,107800
Switzerland,59190,61460,59640,67900,89440,122980
Syrian Arab Republic,36690,138490,147940,216290,254010,187410
Tajikistan,,,,7700,39380,101850
Thailand,587910,560430,1075590,2247260,2319180,2857640
Taiwan,144350,389410,769790,1215120,1007700,1023280
The Gambia,2450,2750,5570,6300,8500,14850
Togo,19910,19790,63810,91290,216500,305340
Tonga,800,1460,2000,3000,3300,3430
Trinidad and Tobago,51300,74000,125000,192400,330000,375470
Tunisia,85000,242000,411000,593990,800000,960520
Türkiye,323130,537090,640780,2581680,2349180,3793490
Turkmenistan,,,,55000,158880,164920
Tuvalu,100,130,270,400,490,560
Uganda,83000,132000,189600,269740,346800,362630
Ukraine,,,,1056120,1726000,2025110
United Arab Emirates,850,19490,67000,122000,200000,246310
United Kingdom of Great Britain and Northern Ireland,1374440,1160000,1246360,1545040,1520000,1720000
"Tanzania, United Republic of",108000,170000,205000,277980,335000,379950
United States of America,9209000,10530000,13320000,18600000,86236000,92221000
Uruguay,52680,58760,80000,130000,165000,397790
Uzbekistan,,,,141000,326000,613070
Vanuatu,1700,2700,3000,3400,6000,5370
Venezuela (Bolivarian Republic of),187240,439890,566100,1200000,1170000,1291420
Viet nam,449000,452000,752000,1523100,2182010,4095000
Yemen,24240,42400,174430,296000,600000,701370
Zambia,89700,206380,157000,290000,350000,410850
Zimbabwe,75000,82000,120000,175000,235190,75790
