Country,type,1970,1980,1990,2000,2010,2020
Croatia,Head of Swine,,,,1233000,1230574,1033000
Cuba,Head of Swine,1490000,1425000,1335000,1632981,1591000,1120699
Cyprus,Head of Swine,113000,148000,280928,408409,463729,359420
Czechia,Head of Swine,,,,3687967,1909232,1546020
Côte d'Ivoire,Head of Swine,177000,315000,360000,284569,348590,439404
Denmark,Head of Swine,8360575,9957000,9282000,11921573,13173060,13391000
"Congo, Democratic Republic of the",Head of Swine,619600,685000,1050000,1048716,977379,998055
Djibouti,Head of Swine,,,,,,
Dominica,Head of Swine,7219,8000,4300,5000,5000,5075
Dominican Republic,Head of Swine,714000,250000,431000,538599,660000,521333
Timor-Leste,Head of Swine,1920000,3549000,2219768,1527114,1489761,1059842
Ecuador,Head of Swine,202849,64000,275783,290000,330435,444897
Egypt,Head of Swine,15000,21000,23502,29500,10500,11000
El Salvador,Head of Swine,420700,420750,317300,300000,427000,250000
Equatorial Guinea,Head of Swine,4100,4400,5000,6000,6400,7079
Eritrea,Head of Swine,,,,,,
Estonia,Head of Swine,,,,285700,365100,316600
Ethiopia,Head of Swine,14500,18200,19000,25000,31000,36416
Fiji,Head of Swine,38000,64000,88000,135000,145700,153849
Finland,Head of Swine,1002400,1450700,1347700,1295800,1366932,1103900
France,Head of Swine,10462500,11446369,12275500,14927425,14287055,13737000
Gabon,Head of Swine,104000,125000,167093,213000,215000,223960
Georgia,Head of Swine,,,,411100,135200,155500
Germany,Head of Swine,28560304,34505488,34177504,25633360,26509000,26069900
Ghana,Head of Swine,268000,379000,473946,324000,536000,759211
Greece,Head of Swine,382612,948435,1000700,972976,839630,743000
Grenada,Head of Swine,2900,2300,3500,2600,3000,2955
Guatemala,Head of Swine,805827,658100,1025500,1424400,2733400,2961099
Guinea,Head of Swine,27000,38500,21779,58754,87288,159985
Guinea-Bissau,Head of Swine,167000,256000,290000,345000,394147,473656
Guyana,Head of Swine,80900,85000,20000,9000,9100,10069
Haiti,Head of Swine,1525000,1500000,300000,1000000,1001000,1010282
Honduras,Head of Swine,803025,421496,590000,470000,469635,460515
Hungary,Head of Swine,5970024,8355000,7660000,5335000,3247000,2850000
Iceland,Head of Swine,3075,11376,37000,44000,40016,27000
India,Head of Swine,6000000,9000000,11900000,13403000,10640000,8852111
Indonesia,Head of Swine,3169000,3155000,7135643,5356834,7476665,9069892
Iran (Islamic Republic of),Head of Swine,48000,15000,0,,,
Iraq,Head of Swine,,,,,,
Ireland,Head of Swine,1064900,1120000,1110100,1722100,1516300,1678570
Israel,Head of Swine,65900,117000,123700,141000,223000,183808
Italy,Head of Swine,9224000,8806700,9254300,8414000,9157100,8543030
Jamaica,Head of Swine,180000,210000,220000,180000,197400,218410
Japan,Head of Swine,6585000,9998000,11817000,9806000,9800000,9123909
Jordan,Head of Swine,,,,,,
Kazakhstan,Head of Swine,,,,984200,1326300,816736
Kenya,Head of Swine,57400,74000,128168,310600,347413,649273
Kuwait,Head of Swine,,,,,,
Kyrgyzstan,Head of Swine,,,,104800,59791,29465
Lao People's Democratic Republic,Head of Swine,920000,1111090,1372100,1446000,2752000,4298000
Latvia,Head of Swine,,,,404900,376500,306820
Lebanon,Head of Swine,16492,18805,45000,26000,7735,7537
Lesotho,Head of Swine,66026,82292,66516,128592,83976,47157
Liberia,Head of Swine,82000,103000,120000,130000,265300,362788
Libya,Head of Swine,,,,,,
Lithuania,Head of Swine,,,,936100,928200,580400
Luxembourg,Head of Swine,,,,80141,83774,82130
Madagascar,Head of Swine,551246,1193000,1430800,519220,1439360,1768766
Malawi,Head of Swine,149772,197317,233108,468140,1861503,7794586
Malaysia,Head of Swine,1086236,1837004,2678083,1894438,1922321,1876029
Mali,Head of Swine,31650,48000,56000,58375,74272,87215
Malta,Head of Swine,22649,4425,101200,80074,70583,45270
Mauritania,Head of Swine,,,,,,
Mauritius,Head of Swine,4000,6500,12500,12800,22327,21987
Mexico,Head of Swine,10297773,16890000,15203000,15390507,15435412,18788002
"Micronesia, Federated States of",Head of Swine,,,,32000,33000,38061
Mongolia,Head of Swine,11600,34500,192090,14684,24842,24531
Montenegro,Head of Swine,,,,,11205,26853
Morocco,Head of Swine,21500,7400,8900,8000,8500,7949
Mozambique,Head of Swine,128870,120000,870000,2397493,1340712,1695167
Myanmar,Head of Swine,1478191,2196000,2278000,3974000,9416208,19192640
Namibia,Head of Swine,21000,15000,17865,23148,65000,105395
Nepal,Head of Swine,320000,375000,574197,877681,1064858,1519593
Netherlands,Head of Swine,5650360,10137516,13700000,13100000,12254970,11541000
New Zealand,Head of Swine,577925,434084,394700,368754,335114,234533
Nicaragua,Head of Swine,614700,600000,545000,425000,480000,529433
Niger,Head of Swine,23000,31000,37400,39000,40000,43351
Nigeria,Head of Swine,840000,1000000,3410000,5047624,7471730,7990514
Macedonia,Head of Swine,,,,226000,190552,164074
Norway,Head of Swine,641746,663600,709700,730390,850383,785161
Oman,Head of Swine,,,,,,
Pakistan,Head of Swine,,,,,,
Panama,Head of Swine,195300,211500,226300,277700,276400,365700
Papua New Guinea,Head of Swine,710000,870000,1000000,1550000,1950000,2118571
Paraguay,Head of Swine,588564,995500,2444363,1800000,1117664,1333083
Peru,Head of Swine,1930500,2107900,2400100,2845573,3254413,3265145
Philippines,Head of Swine,6455600,7933630,7989990,10712900,13397800,12795721
Poland,Head of Swine,13446100,21325616,19464224,17121982,15244385,11727400
Portugal,Head of Swine,1828600,3500000,2618000,2350000,1917000,2259180
Qatar,Head of Swine,,,,,,
"Korea, Republic of",Head of Swine,1332513,1783536,4528008,8214369,9880632,11078032
"Moldova, Republic of",Head of Swine,,,,682600,377142,396652
Romania,Head of Swine,5971600,10899300,11671000,5848000,5793400,3750400
Russian Federation,Head of Swine,,,,18341111,17230955,25163165
Rwanda,Head of Swine,53709,119850,116452,177220,684708,1541367
Saint Kitts and Nevis,Head of Swine,1780,1670,1730,4000,6000,2600
Saint Lucia,Head of Swine,12000,9720,12000,14750,14025,12671
Saint Vincent and the Grenadines,Head of Swine,3500,6100,9900,9500,8000,6723
Samoa,Head of Swine,45111,70000,185000,170000,171238,106586
Sao Tome and Principe,Head of Swine,3283,1300,2900,2200,25000,42985
Saudi Arabia,Head of Swine,,,,,,
Senegal,Head of Swine,167000,180000,164000,269000,354474,478118
Serbia,Head of Swine,,,,4087000,3488738,2983102
Seychelles,Head of Swine,5000,10000,17500,12077,4470,5126
Sierra Leone,Head of Swine,20000,36000,50000,52000,47364,268746
Singapore,Head of Swine,1000000,1000000,300000,,,
Slovakia,Head of Swine,,,,1562105,740862,538310
Slovenia,Head of Swine,,,,558459,415230,229480
Solomon Islands,Head of Swine,32000,45000,53000,51000,54000,55293
Somalia,Head of Swine,6500,9000,10000,3900,4000,3815
South Africa,Head of Swine,1364000,1318000,1532000,1555595,1594494,1356892
South Sudan,Head of Swine,,,,,,
Spain,Head of Swine,6914598,10714000,16911000,22418238,25704040,32796070
Sri Lanka,Head of Swine,108356,71300,85000,70800,83790,92640
Sudan,Head of Swine,,,,,,
Suriname,Head of Swine,14292,20000,31920,22280,32125,34073
Swaziland,Head of Swine,11468,15141,23802,29951,32000,35758
Sweden,Head of Swine,2073559,2714197,2263943,1917917,1519900,1383200
Switzerland,Head of Swine,1752700,2204700,1787000,1498223,1588998,1240214
Syrian Arab Republic,Head of Swine,130,450,600,0,15,11
Tajikistan,Head of Swine,,,,1000,418,87
Thailand,Head of Swine,5132244,3020904,4761622,6558147,7623730,7536066
Taiwan,Head of Swine,3048462,5417706,7783276,7243194,6130003,5512274
The Bahamas,Head of Swine,9500,6400,5400,4777,5000,5026
The Gambia,Head of Swine,7500,10000,14000,14000,28500,13322
Togo,Head of Swine,195000,207825,354300,394000,564900,1120815
Tonga,Head of Swine,36675,100000,93700,81000,81200,83414
Trinidad and Tobago,Head of Swine,40000,45000,40000,36000,34799,29711
Tunisia,Head of Swine,4000,3800,6590,6000,5800,5297
Türkiye,Head of Swine,18000,13000,8000,3400,1896,990
Turkmenistan,Head of Swine,,,,35000,13900,7726
Tuvalu,Head of Swine,5500,6320,11277,13200,13847,14544
Uganda,Head of Swine,63500,186600,1160000,1573000,2297000,2638296
Ukraine,Head of Swine,,,,10072900,7576600,5727400
United Arab Emirates,Head of Swine,,,,,,
United Kingdom of Great Britain and Northern Ireland,Head of Swine,8094144,7813000,7450000,6482000,4460000,5148000
"Tanzania, United Republic of",Head of Swine,117800,159600,320000,450000,495000,520884
United States of America,Head of Swine,57046000,67318000,53788000,59110300,64925000,77312000
Uruguay,Head of Swine,418709,288944,215000,294000,210000,162000
Uzbekistan,Head of Swine,,,,83000,96500,52430
Vanuatu,Head of Swine,58000,68000,60000,66000,90000,91195
Venezuela (Bolivarian Republic of),Head of Swine,1601301,2279904,2903910,2809968,3486492,3000146
Viet nam,Head of Swine,9537800,10001200,12260500,20193794,27373300,22027858
Yemen,Head of Swine,,,,,,
Zambia,Head of Swine,96000,218465,295000,308872,715000,1066369
Zimbabwe,Head of Swine,201000,132000,303000,300000,391174,272206
Afghanistan,Head of Sheep,21500000,18700000,14170000,15000000,13286000,13614237
Albania,Head of Sheep,1276500,1254000,1646300,1939000,1806000,1557861
Algeria,Head of Sheep,7788000,13370000,17697270,17615928,22868770,30905560
Angola,Head of Sheep,159281,225000,240000,350000,983210,1173490
Antigua and Barbuda,Head of Sheep,8600,12000,12400,17848,14000,9710
Argentina,Head of Sheep,43000000,31000000,28571008,13561600,15024744,14571766
Armenia,Head of Sheep,,,,507603,481342,639598
Australia,Head of Sheep,180079584,135984960,170296576,118552000,68085496,63529366
Austria,Head of Sheep,121191,195413,286870,352277,344709,393760
Azerbaijan,Head of Sheep,,,,5279690,7871193,7483725
Bahrain,Head of Sheep,2000,6550,21060,23000,40000,62037
Bangladesh,Head of Sheep,490000,588000,873000,1132000,1820000,2274314
Barbados,Head of Sheep,43000,50000,7000,5650,12000,13858
Belarus,Head of Sheep,,,,91900,52400,89300
Belgium,Head of Sheep,109233,108914,174000,125639,120000,
Belize,Head of Sheep,2400,3000,1700,4200,13100,16679
Benin,Head of Sheep,580300,975751,708000,667328,808000,994000
Bhutan,Head of Sheep,9200,10000,43698,22880,12699,10793
Bolivia (Plurinational State of),Head of Sheep,6786800,9056600,6113769,7352951,8701465,7612750
Bosnia and Herzegovina,Head of Sheep,,,,584000,1046035,1014427
Botswana,Head of Sheep,320000,148500,316900,330000,279237,239740
Brazil,Head of Sheep,17773008,18381008,20014512,14784958,17380581,20628699
Brunei,Head of Sheep,,,60,2000,3800,4574
Bulgaria,Head of Sheep,9223079,10535673,8130305,2548884,1400252,1307770
Burkina Faso,Head of Sheep,1648000,3200000,4900000,6782439,8243238,10848978
Burundi,Head of Sheep,226990,316000,348000,224663,315295,746936
Cambodia,Head of Sheep,1938,1200,5544,8450,11000,18768
Cameroon,Head of Sheep,,,,,,
Canada,Head of Sheep,2000000,2160000,3500000,3753000,3739325,3633016
Cabo Verde,Head of Sheep,528000,485100,595000,793000,855300,795800
Central African Republic,Head of Sheep,64000,85000,133629,222000,388000,440362
Chad,Head of Sheep,2300000,2614000,1925710,8423000,18056000,38705279
Chile,Head of Sheep,6130000,6064010,4887230,4144000,3644346,1814852
China,Head of Sheep,79710000,102568000,111238000,131095000,145351800,173095300
Colombia,Head of Sheep,1962000,2413300,2547000,2288000,1791802,1682767
Comoros,Head of Sheep,6000,9500,16000,20500,23000,25026
"Congo, Democratic Republic of the",Head of Sheep,38000,60657,103904,96000,120000,124356
Costa Rica,Head of Sheep,1950,2300,2500,2700,2750,2836
Croatia,Head of Sheep,,,,528675,630000,662000
Cuba,Head of Sheep,280000,355000,3350000,2572100,2361900,1458200
Cyprus,Head of Sheep,415000,295000,310000,246000,328864,
Czechia,Head of Sheep,,,,84108,196913,203612
Côte d'Ivoire,Head of Sheep,832500,1020000,1134000,1392241,1692181,2262971
Denmark,Head of Sheep,69610,56000,159000,145000,159626,
"Congo, Democratic Republic of the",Head of Sheep,686700,726100,927000,924924,904080,914207
Djibouti,Head of Sheep,200000,450000,430000,466000,466000,469940
Dominica,Head of Sheep,2975,5900,7500,7600,7600,8122
Dominican Republic,Head of Sheep,45000,68580,115000,105454,240000,257635
Timor-Leste,Head of Sheep,1895000,1096836,1419895,1127468,792498,496535
Ecuador,Head of Sheep,38920,11200,31110,25500,41854,32286
Egypt,Head of Sheep,2066000,1593108,3363635,4469131,5529529,2971608
El Salvador,Head of Sheep,4000,4000,4900,5100,5100,5447
Equatorial Guinea,Head of Sheep,28000,33000,35400,37400,39000,41460
Eritrea,Head of Sheep,,,,2150000,2271560,2412635
Estonia,Head of Sheep,,,,28200,76500,
Ethiopia,Head of Sheep,24000000,23250000,22960000,10950680,25509004,42914865
Fiji,Head of Sheep,,,0,7000,11268,30743
Finland,Head of Sheep,188600,105900,60700,99646,125673,140200
France,Head of Sheep,10036700,11911044,11208800,9577612,7962418,7301070
Gabon,Head of Sheep,40000,105000,160818,198000,197000,222190
Georgia,Head of Sheep,,,,553300,602300,841900
Germany,Head of Sheep,2536800,3124726,4135247,2743000,2088541,1483700
Ghana,Head of Sheep,1330900,1941000,2223599,2743000,3759000,5458190
Greece,Head of Sheep,7680270,8042543,8723025,8950971,8931392,8260000
Grenada,Head of Sheep,9000,14000,12400,13000,13200,13753
Guatemala,Head of Sheep,570000,455700,433500,239700,564400,606478
Guinea,Head of Sheep,330000,437000,420220,845941,1807261,2528000
Guinea-Bissau,Head of Sheep,115000,178000,242179,280000,453760,527730
Guyana,Head of Sheep,98500,114000,129000,130000,130000,131907
Haiti,Head of Sheep,75000,108000,120000,151800,153500,259115
Honduras,Head of Sheep,4000,5000,10000,13700,15500,16838
Hungary,Head of Sheep,3023807,2927000,2069200,934000,1223000,944000
Iceland,Head of Sheep,780462,796755,548508,465777,479841,400724
India,Head of Sheep,40656000,44970000,48700000,59447000,67744000,68099762
Indonesia,Head of Sheep,3362000,4124000,6005789,7426990,10725458,17769084
Iran (Islamic Republic of),Head of Sheep,29500000,34500000,44581392,53900100,47591000,46587010
Iraq,Head of Sheep,13099000,11000000,9600000,6900000,7945000,6723866
Ireland,Head of Sheep,2788200,2359600,5713900,7555000,4745400,3877220
Israel,Head of Sheep,194500,238000,375000,380000,445000,500000
Italy,Head of Sheep,8137600,9110400,10848000,11017000,8012600,7034160
Jamaica,Head of Sheep,6000,4000,1800,1400,1600,1375
Japan,Head of Sheep,21392,12000,30700,10000,12000,14608
Jordan,Head of Sheep,664223,852000,1556000,1484084,2175690,2969798
Kazakhstan,Head of Sheep,,,,8725400,14660800,17749598
Kenya,Head of Sheep,3900000,5000000,9049610,7939500,17562104,25345927
Kuwait,Head of Sheep,82553,250000,234945,577380,460213,725697
Kyrgyzstan,Head of Sheep,,,,3263830,4095231,5508032
Lao People's Democratic Republic,Head of Sheep,,,,,,
Latvia,Head of Sheep,,,,27000,70700,91890
Lebanon,Head of Sheep,243604,145068,215000,354000,265345,431718
Lesotho,Head of Sheep,1655128,1043561,1377750,1116629,1228558,1731568
Liberia,Head of Sheep,150000,200000,220000,210000,263750,303601
Libya,Head of Sheep,2163000,5500000,5200000,4124000,7000000,7453508
Lithuania,Head of Sheep,,,,13800,52500,140600
Luxembourg,Head of Sheep,,,,7971,9084,9518
Madagascar,Head of Sheep,666162,734000,737000,583950,780220,867593
Malawi,Head of Sheep,81136,88929,85167,111539,214230,366184
Malaysia,Head of Sheep,39213,61283,205409,145257,123475,121173
Mali,Head of Sheep,5750000,6250000,6086000,6800000,11300247,20142677
Malta,Head of Sheep,8401,4947,16000,12000,12379,13150
Mauritania,Head of Sheep,4500000,5197200,5100000,8034880,8701555,11102216
Mauritius,Head of Sheep,4200,12000,7000,9800,2022,3787
Mexico,Head of Sheep,6113150,6482000,5846000,6045999,8105562,8725882
"Micronesia, Federated States of",Head of Sheep,,,,,,
Mongolia,Head of Sheep,12631000,14400000,14265200,15191300,14480396,30049428
Montenegro,Head of Sheep,,,,,198165,186043
Morocco,Head of Sheep,17000000,16509808,13514426,17299700,18023200,22088800
Mozambique,Head of Sheep,118435,106000,156000,174096,220391,225673
Myanmar,Head of Sheep,182970,236000,276000,389781,663780,1593783
Namibia,Head of Sheep,3660000,4474027,3328316,2446146,2800000,1348598
Nepal,Head of Sheep,630000,730000,892296,851913,801371,806079
Netherlands,Head of Sheep,610272,858084,1725000,1308000,1129500,710000
New Zealand,Head of Sheep,60276112,68771776,57852192,42260000,32562612,26028935
Nicaragua,Head of Sheep,1450,2750,3700,5100,6300,6690
Niger,Head of Sheep,4873970,5414862,5486628,7739431,9680058,13654677
Nigeria,Head of Sheep,3219000,8050000,12460000,26000000,35519760,47743807
Macedonia,Head of Sheep,,,,1289000,778404,630634
Norway,Head of Sheep,1752910,1992200,2211000,2352705,2308291,2224658
Oman,Head of Sheep,38000,113889,250000,344000,388590,629742
Pakistan,Head of Sheep,13095000,21439008,25698000,24084000,27757000,31225000
Panama,Head of Sheep,,,,,,
Papua New Guinea,Head of Sheep,272,1961,3600,6300,7000,7626
Paraguay,Head of Sheep,324647,380000,457200,402092,392649,307004
Peru,Head of Sheep,16811008,13572100,12256900,14686310,14159720,11097551
Philippines,Head of Sheep,27881,30000,30000,30000,30000,30000
Poland,Head of Sheep,3199200,4206529,4158465,361582,261129,277850
Portugal,Head of Sheep,4421800,4560000,3347000,3584000,2226000,2181020
Qatar,Head of Sheep,34000,45915,129991,214531,213804,1021718
"Korea, Republic of",Head of Sheep,2200,6233,3225,829,3918,911
"Moldova, Republic of",Head of Sheep,,,,930229,803747,676865
Romania,Head of Sheep,13835900,15819700,15434800,8121000,9141500,10464400
Russian Federation,Head of Sheep,,,,12622156,19849656,20654963
Rwanda,Head of Sheep,186657,295520,388616,254441,743201,633692
Saint Kitts and Nevis,Head of Sheep,13650,13900,14000,14084,7000,8351
Saint Lucia,Head of Sheep,8400,12702,15700,12500,10000,9341
Saint Vincent and the Grenadines,Head of Sheep,5000,12500,13200,13000,12000,7552
Samoa,Head of Sheep,,,,,,
Sao Tome and Principe,Head of Sheep,2159,1800,1800,2600,3200,3348
Saudi Arabia,Head of Sheep,2345000,4247000,6383357,7934490,8741000,9446699
Senegal,Head of Sheep,1500000,1947000,3347000,4542000,5571335,7426338
Serbia,Head of Sheep,,,,1917000,1475395,1684613
Seychelles,Head of Sheep,,,,,,
Sierra Leone,Head of Sheep,185000,267000,270910,200000,682000,974690
Singapore,Head of Sheep,,,,,,
Slovakia,Head of Sheep,,,,340346,376978,294252
Slovenia,Head of Sheep,,,,72533,138108,113734
Solomon Islands,Head of Sheep,,,,,,
Somalia,Head of Sheep,9200000,10300000,13000000,13808000,12000000,12063556
South Africa,Head of Sheep,34286000,31641008,32665008,28550716,24501044,21604708
South Sudan,Head of Sheep,,,,,,14959238
Spain,Head of Sheep,18729280,14547000,22739000,23965000,18551600,15439220
Sri Lanka,Head of Sheep,26297,28000,26000,11200,7910,11290
Sudan,Head of Sheep,11358000,17623008,20700000,46095000,52079000,40946061
Suriname,Head of Sheep,2700,2918,9620,7360,6900,5672
Swaziland,Head of Sheep,39749,32274,24431,27000,34500,37483
Sweden,Head of Sheep,334616,391629,405595,431934,564922,501153
Switzerland,Head of Sheep,291100,353500,395200,420740,434083,343597
Syrian Arab Republic,Head of Sheep,6045758,9300720,14508608,13505200,15511000,16073088
Tajikistan,Head of Sheep,,,,1472200,2617373,3818750
Thailand,Head of Sheep,39000,21776,162496,37312,43139,39782
Taiwan,Head of Sheep,,202,373,90,200,213
The Bahamas,Head of Sheep,20000,10500,7200,6292,6500,6605
The Gambia,Head of Sheep,106800,136000,120841,105531,251000,65000
Togo,Head of Sheep,619000,539270,1252300,1570100,2108400,1785888
Tonga,Head of Sheep,,,,,,
Trinidad and Tobago,Head of Sheep,6000,10000,6000,2500,17333,13388
Tunisia,Head of Sheep,4750000,4967000,5966300,6926250,7234070,6333094
Türkiye,Head of Sheep,36351008,46026000,43647008,30256000,21794508,42126781
Turkmenistan,Head of Sheep,,,,7500000,13600000,13969559
Tuvalu,Head of Sheep,,,,,,
Uganda,Head of Sheep,827500,1318400,780000,1081000,1847000,2024160
Ukraine,Head of Sheep,,,,1059500,1197000,658800
United Arab Emirates,Head of Sheep,95000,132237,254165,494917,1350665,2006069
United Kingdom of Great Britain and Northern Ireland,Head of Sheep,26189888,21609008,43828000,42264000,31084000,32697000
"Tanzania, United Republic of",Head of Sheep,2823000,3774800,3556985,3501233,3592700,7854765
United States of America,Head of Sheep,20423008,12699000,11358000,7032000,5620000,5200000
Uruguay,Head of Sheep,19892752,20033008,25245000,13198000,7710000,6337000
Uzbekistan,Head of Sheep,,,,7760500,12081900,18829200
Vanuatu,Head of Sheep,,,,,,
Venezuela (Bolivarian Republic of),Head of Sheep,140000,344000,351200,471216,586950,604587
Viet nam,Head of Sheep,,,,,,
Yemen,Head of Sheep,2167000,2953000,4810000,6193000,9206000,9238763
Zambia,Head of Sheep,32000,27540,60000,140000,220000,257921
Zimbabwe,Head of Sheep,811000,387000,599000,690000,309305,375942
