Paraguay,621000,1200000,1704700,1519800,1637600,2358300
Peru,2202200,3995000,6220400,9261000,13077900,17105900
Philippines,5699900,5276100,8230000,11518700,15898400,17826500
Poland,7497100,7929200,6275500,4827400,15327800,18247300
Portugal,1360000,1900000,2000000,1113100,1160500,
Qatar,6000,57500,263200,420900,730000,122800
"Korea, Republic of",2590300,4013000,7446300,10254700,14920000,17852800
"Moldova, Republic of",,,,1253500,2234000,4091000
Romania,4617200,8751700,11396800,6914300,8384300,
Russian Federation,,,0,34033400,39053400,49696400
Rwanda,51100,105200,122600,127800,353800,563300
Saint Kitts and Nevis,6400,7800,5600,6000,8000,9200
Saint Lucia,7500,18900,22000,22000,45000,45800
Saint Vincent and the Grenadines,10000,15000,20000,20000,26000,25300
Samoa,48000,45000,35000,44000,46000,42100
Sao Tome and Principe,5300,9000,10300,35000,23000,29900
Saudi Arabia,325000,1700000,7600000,11500000,14820000,20235600
Senegal,484000,842300,1300000,2449500,4044900,8849500
Serbia,,,,1894800,3273500,1492700
Seychelles,6500,17700,27000,55000,31000,10800
Sierra Leone,290000,405000,600000,400000,946000,2503200
Singapore,310000,480000,210000,200000,330000,391200
Slovakia,,,,1175800,1324900,1040900
Slovenia,,,,425600,294500,416200
Solomon Islands,11500,14300,14500,19000,24000,24300
Somalia,200000,290000,310000,320000,340000,377100
South Africa,2250000,3000000,8700000,12600000,19700000,17901700
South Sudan,,,,,,1500000
Spain,4519700,10700000,10900000,12800000,13800000,
Sri Lanka,685600,634100,879600,1062200,1401800,2427800
Sudan,1850000,2700000,3226300,3646500,4331600,5074700
Suriname,360700,450000,895700,339500,615000,607100
Swaziland,35900,56700,111300,300000,350000,387100
Sweden,1177200,1319200,1130000,731700,770800,1078000
Switzerland,591900,614600,596400,679000,894400,1229800
Syrian Arab Republic,366900,1384900,1479400,2162900,2540100,1874100
Tajikistan,,,,77000,393800,1018500
Thailand,5879100,5604300,10755900,22472600,23191800,28576400
Taiwan,1443500,3894100,7697900,12151200,10077000,10232800
The Gambia,24500,27500,55700,63000,85000,148500
Togo,199100,197900,638100,912900,2165000,3053400
Tonga,8000,14600,20000,30000,33000,34300
Trinidad and Tobago,513000,740000,1250000,1924000,3300000,3754700
Tunisia,850000,2420000,4110000,5939900,8000000,9605200
Türkiye,3231300,5370900,6407800,25816800,23491800,37934900
