Niger,4000000,4381560,3061090,5481952,9011897,16138934
Nigeria,8887000,12108000,13947000,15118300,16577962,20744892
Macedonia,N/A,N/A,N/A,270000,259887,222202
Norway,943002,984700,953100,987915,874529,869136
Oman,69000,140589,137000,299000,332780,412948
Pakistan,14584000,15038000,17677008,22004000,34285000,49624000
Panama,1187700,1404900,1388000,1342400,1640900,1505500
Papua New Guinea,76094,129000,99000,87000,94000,92334
Paraguay,4340000,5854400,8253900,9736860,12305442,14026143
Peru,4127300,4239000,4102300,4980291,5520200,5636388
Philippines,1678700,1882860,1629230,2478850,2570900,2541959
Poland,10843500,12648608,10048929,6082549,5742094,6278900
Portugal,1259000,1324000,1392000,1421000,1447000,1691320
Qatar,5300,9870,10095,14831,11422,44718
"Korea, Republic of",1296673,1634051,2125601,2133728,3351391,3804976
"Moldova, Republic of",N/A,N/A,N/A,422969,221622,123713
Romania,4859578,6285400,6290700,3051000,2512300,1910900
Russian Federation,N/A,N/A,N/A,28060323,20671328,18126003
Rwanda,709354,634321,581812,732123,1334820,1333158
Saint Kitts and Nevis,5600,5100,4100,4349,7000,1933
Saint Lucia,9000,10070,12250,10000,11000,10729
Saint Vincent and the Grenadines,7200,7500,6300,6000,5200,3551
Samoa,19774,26284,24000,28000,41555,48008
Sao Tome and Principe,3060,2800,3550,4100,1300,1388
Saudi Arabia,160000,398726,192764,290506,393324,700000
Senegal,2615000,2238000,2465000,2986000,3313055,3712799
Serbia,N/A,N/A,N/A,N/A,938038,886127
Seychelles,1700,2578,3000,1500,340,282
Sierra Leone,296000,348000,333000,200000,517000,598442
Singapore,5000,1000,400,200,200,174
Slovakia,N/A,N/A,N/A,665055,471965,442290
Slovenia,N/A,N/A,N/A,471425,472878,485610
Solomon Islands,12099,22995,13000,13000,14500,15400
Somalia,3800000,4358000,4000000,5139000,4800000,4826203
South Africa,11300000,13575000,13300000,13600000,13731044,12297621
South Sudan,N/A,N/A,N/A,N/A,N/A,13784065
Spain,4288070,4679000,5187000,6216883,6075100,6636430
Sri Lanka,1593306,1644300,1772700,1147600,1169670,1103570
Sudan,12300000,18354416,21027800,37093000,41761000,31757266
Suriname,40200,46213,91975,110000,58150,36620
Swaziland,568369,657608,715941,588288,620000,620560
Sweden,1925968,1935022,1718443,1683700,1536700,1390960
Switzerland,1907400,2030600,1855200,1588005,1591233,1515023
Syrian Arab Republic,528402,767931,787000,984393,1010000,884572
Tajikistan,N/A,N/A,N/A,1036700,1829997,2335580
Thailand,4666969,3938221,5668530,4601697,6497996,4641249
Taiwan,103045,80225,138309,156059,129851,151514
The Bahamas,2500,1100,1000,669,750,781
The Gambia,248698,293210,327000,364113,425000,486561
Togo,194345,220856,243000,275800,309411,469257
Tonga,3097,10000,10000,11250,11300,12069
Trinidad and Tobago,63000,77000,41000,30000,32500,35291
Tunisia,700000,599000,622000,767000,670900,613039
Türkiye,13189000,15567000,12173000,11054000,10723958,17965482
Turkmenistan,N/A,N/A,N/A,1400000,2174600,2278876
Tuvalu,0,0,0,,0,0
Uganda,4280500,4770600,4913200,5965500,12103532,15541335
Ukraine,N/A,N/A,N/A,10626500,4826700,3092000
United Arab Emirates,15000,25665,49328,96050,100860,98875
United Kingdom of Great Britain and Northern Ireland,12627516,13363000,12079000,11133000,10112000,9615000
"Tanzania, United Republic of",10139000,12577600,13046835,16713000,19245648,28335049
United States of America,112369008,111242000,95816000,98199000,94081200,93793300
Uruguay,8563747,11173000,8692000,10353000,11800000,11182000
Uzbekistan,N/A,N/A,N/A,5281800,8510800,13154200
Vanuatu,74500,94000,125000,140000,165000,99322
Venezuela (Bolivarian Republic of),8289408,10539000,13272100,15164370,14134039,16239223
Viet nam,1616000,1664200,3116900,4127872,5808300,6230519
Yemen,893000,973000,1175272,1283000,1605000,1664486
Zambia,1574000,2181214,2878000,2620987,3100000,3740472
Zimbabwe,5190000,5279000,6407000,6186000,5773620,5513379
