Country,1970,1980,1990,2000,2010,2020
Saint Kitts and Nevis,1780,1670,1730,4000,6000,2600
Saint Lucia,12000,9720,12000,14750,14025,12671
Saint Vincent and the Grenadines,3500,6100,9900,9500,8000,6723
Samoa,45111,70000,185000,170000,171238,106586
Sao Tome and Principe,3283,1300,2900,2200,25000,42985
Saudi Arabia,,,,,,
Senegal,167000,180000,164000,269000,354474,478118
Serbia,,,,4087000,3488738,2983102
Seychelles,5000,10000,17500,12077,4470,5126
Sierra Leone,20000,36000,50000,52000,47364,268746
Singapore,1000000,1000000,300000,,,
Slovakia,,,,1562105,740862,538310
Slovenia,,,,558459,415230,229480
Solomon Islands,32000,45000,53000,51000,54000,55293
Somalia,6500,9000,10000,3900,4000,3815
South Africa,1364000,1318000,1532000,1555595,1594494,1356892
South Sudan,,,,,,
Spain,6914598,10714000,16911000,22418238,25704040,32796070
Sri Lanka,108356,71300,85000,70800,83790,92640
Sudan,,,,,,
Suriname,14292,20000,31920,22280,32125,34073
Swaziland,11468,15141,23802,29951,32000,35758
Sweden,2073559,2714197,2263943,1917917,1519900,1383200
Switzerland,1752700,2204700,1787000,1498223,1588998,1240214
Syrian Arab Republic,130,450,600,0,15,11
Tajikistan,,,,1000,418,87
Thailand,5132244,3020904,4761622,6558147,7623730,7536066
Taiwan,3048462,5417706,7783276,7243194,6130003,5512274
The Bahamas,9500,6400,5400,4777,5000,5026
The Gambia,7500,10000,14000,14000,28500,13322
Togo,195000,207825,354300,394000,564900,1120815
Tonga,36675,100000,93700,81000,81200,83414
Trinidad and Tobago,40000,45000,40000,36000,34799,29711
Tunisia,4000,3800,6590,6000,5800,5297
Türkiye,18000,13000,8000,3400,1896,990
Turkmenistan,,,,35000,13900,7726
Tuvalu,5500,6320,11277,13200,13847,14544
Uganda,63500,186600,1160000,1573000,2297000,2638296
Ukraine,,,,10072900,7576600,5727400
United Arab Emirates,,,,,,
United Kingdom of Great Britain and Northern Ireland,8094144,7813000,7450000,6482000,4460000,5148000
"Tanzania, United Republic of",117800,159600,320000,450000,495000,520884
United States of America,57046000,67318000,53788000,59110300,64925000,77312000
Uruguay,418709,288944,215000,294000,210000,162000
Uzbekistan,,,,83000,96500,52430
Vanuatu,58000,68000,60000,66000,90000,91195
Venezuela (Bolivarian Republic of),1601301,2279904,2903910,2809968,3486492,3000146
Viet nam,9537800,10001200,12260500,20193794,27373300,22027858
Yemen,,,,,,
Zambia,96000,218465,295000,308872,715000,1066369
Zimbabwe,201000,132000,303000,300000,391174,272206
